ticker,company,sector,sub_industry,index
DLR,Digital Realty,Real Estate,Data Center REITs,SP500
DOW,Dow Inc.,Materials,Commodity Chemicals,SP500
DD,DuPont,Materials,Specialty Chemicals,SP500
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,BOTH
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,SP500
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,SP500
EQIX,Equinix,Real Estate,Data Center REITs,SP500
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,SP500
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,SP500
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,SP500
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,SP500
MTCH,Match Group,Communication Services,Interactive Media & Services,SP500
ARM,Arm Holdings,Technology,,NASDAQ100
ASML,ASML Holding,Technology,,NASDAQ100
TEAM,Atlassian,Technology,,NASDAQ100
MRVL,Marvell Technology,Technology,,NASDAQ100
MSTR,MicroStrategy,Technology,,NASDAQ100
PDD,PDD Holdings,Technology,,NASDAQ100
SHOP,Shopify,Technology,,NASDAQ100
TRI,Thomson Reuters,Technology,,NASDAQ100
ZS,Zscaler,Technology,,NASDAQ100
